ELECTION,PRECINCT,AGE,VOTERS,VOTED,TURNOUT,CYCLE
2000,2181307856,18-24,6.0,5.0,0.8333333333333334,Even
2000,2181307856,25-34,41.0,35.0,0.8536585365853658,Even
2000,2181307856,35-44,45.0,42.0,0.9333333333333333,Even
2000,2181307856,45-54,48.0,46.0,0.9583333333333334,Even
2000,2181307856,55-64,17.0,17.0,1.0,Even
2000,2181307856,65+,6.0,6.0,1.0,Even
2000,2181307857,18-24,9.0,7.0,0.7777777777777778,Even
2000,2181307857,25-34,30.0,27.0,0.9,Even
2000,2181307857,35-44,60.0,54.0,0.9,Even
2000,2181307857,45-54,83.0,81.0,0.9759036144578314,Even
2000,2181307857,55-64,64.0,63.0,0.984375,Even
2000,2181307857,65+,15.0,15.0,1.0,Even
2000,2181307858,18-24,6.0,5.0,0.8333333333333334,Even
2000,2181307858,25-34,39.0,31.0,0.7948717948717948,Even
2000,2181307858,35-44,101.0,96.0,0.9504950495049505,Even
2000,2181307858,45-54,120.0,118.0,0.9833333333333333,Even
2000,2181307858,55-64,43.0,42.0,0.9767441860465116,Even
2000,2181307858,65+,5.0,5.0,1.0,Even
2000,2181307859,18-24,11.0,7.0,0.6363636363636364,Even
2000,2181307859,25-34,42.0,37.0,0.8809523809523809,Even
2000,2181307859,35-44,99.0,94.0,0.9494949494949495,Even
2000,2181307859,45-54,108.0,104.0,0.9629629629629629,Even
2000,2181307859,55-64,48.0,45.0,0.9375,Even
2000,2181307859,65+,13.0,13.0,1.0,Even
2000,2181307860,18-24,5.0,5.0,1.0,Even
2000,2181307860,25-34,31.0,27.0,0.8709677419354839,Even
2000,2181307860,35-44,71.0,63.0,0.8873239436619719,Even
2000,2181307860,45-54,77.0,76.0,0.987012987012987,Even
2000,2181307860,55-64,51.0,50.0,0.9803921568627451,Even
2000,2181307860,65+,12.0,12.0,1.0,Even
2000,2181307861,18-24,3.0,2.0,0.6666666666666666,Even
2000,2181307861,25-34,29.0,27.0,0.9310344827586207,Even
2000,2181307861,35-44,66.0,63.0,0.9545454545454546,Even
2000,2181307861,45-54,61.0,59.0,0.9672131147540983,Even
2000,2181307861,55-64,33.0,32.0,0.9696969696969697,Even
2000,2181307861,65+,10.0,10.0,1.0,Even
